"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"146","24921913","永沛電腦有限公司","臺南市安南區城南里城西街二段291巷5號1樓","林沛汝","1500000","1050307"
"147","24921929","順和紘投資股份有限公司","臺南市中西區三合里康樂街375號","陳鴻模","3000000","1050307"
"148","24921934","輕鬆購善化有限公司","臺南市永康區鹽行里三村一街83巷11號1樓","李啓華","3600000","1050307"
"149","24921940","天開電影文化有限公司","臺南市北區公園里公園路152號1樓","陳宏明","500000","1050307"
"150","24921955","祥森生技有限公司","臺南市北區大興街246巷38弄21號1樓","黃瓊慧","1000000","1050307"
"151","24921961","友電科技有限公司","臺南市下營區下營里中山路一段12巷16號2樓","陳書軒","20000","1050307"
"152","24921977","茂旭經貿有限公司","臺南市中西區西賢里27鄰民權路四段510號1樓","歐主恩","3000000","1050307"
"153","24921982","宏圖開發設計有限公司","臺南市東區裕聖里裕華三街89號1樓","蔣明憲","500000","1050307"
"154","24921998","泳和鑫機械有限公司","臺南市安定區港南里港口62之9號1樓","王寶元","3000000","1050307"
"155","24922005","躍羚貿易有限公司","臺南市新化區和平街81號1樓","蔡梅桂","600000","1050307"
"156","24922011","畝源有限公司","臺南市中西區法華里法華街115號","周睿星","1000000","1050308"
"157","24922027","庫奇家居有限公司","臺南市東區崇文里生產路341巷23之2號","王琮勝","1000000","1050308"
"158","24922032","台南昆騰科技股份有限公司","臺南市安南區工業三路7號","史帝芬 Stephen M.DiRugeris","26000000","1050308"
"159","24922048","排隊實業有限公司","臺南市東區崇善路25巷55號1樓","許育華","5000000","1050308"
"160","24922053","傑德全能有限公司","臺南市東區東安路92巷55號","王子德","100000","1050308"
"161","24922069","艾提那科技股份有限公司","臺南市安南區安慶里長溪路一段168巷60弄9之2號1樓","陳琨棉","12000000","1050308"
"162","24922075","有承工程科技有限公司","臺南市東區仁和里利東街41號4樓之2","羅秀丞","3000000","1050308"
"163","24922080","旭鴻精密五金有限公司","臺南市北區北園街124巷14弄9號1樓","洪國益","200000","1050308"
"164","24922096","淇勛國際有限公司","臺南市永康區烏竹里龍橋街459巷28號1樓","蘇月卿","500000","1050308"
"165","24922103","騰雲客科技股份有限公司","臺南市東區大德里立德十一路71號1樓","黃翊瑋","2000000","1050308"
"166","24922119","彩丞有限公司","臺南市安定區中沙里中崙155之1號1樓","方順盈","300000","1050308"
"167","24922125","蘿德國際有限公司","臺南市新營區新南里復興路622號2樓","李蘭華","3000000","1050308"
"168","24922130","大大生物科技有限公司","臺南市永康區復華里復國一路501號2樓","吳美芳","1000000","1050308"
"169","24922146","皇田國際開發股份有限公司","臺南市安平區中華西路二段49巷24弄13號1樓","林永清","10562500","1050308"
"170","24922151","善源股份有限公司","臺南市南區仁慈街76巷7號1樓","龔炳芳","27000000","1050308"
"171","24922167","三二好電機有限公司","臺南市永康區甲頂里中正南路168巷2弄4號1樓","黃崇斌","1200000","1050309"
"172","24922173","五福輪胎有限公司","臺南市安南區原佃里安吉路一段560-1號1樓","江忠諺","1000000","1050309"
"173","24922188","金熙有限公司","臺南市北區旭日街125號1樓","許鳴威","300000","1050309"
"174","24922194","翰耀有限公司","臺南市北區文成里文賢二街180巷8號2樓","黃欣怡","2000000","1050309"
"175","24922201","承芯工程股份有限公司","臺南市永康區復華里國華街96巷19弄13號1樓","俞緯峰","5000000","1050309"
"176","24922217","上筑空間設計有限公司","臺南市新營區民權路21號1樓","蔡宗銘","250000","1050309"
"177","24922223","好事多企業有限公司","臺南市安平區建平里平通路16號","陳素清","500000","1050309"
"178","24922238","台灣安平文創有限公司","臺南市安平區石門里安北路103巷7弄8號1樓","蔡勝安","1000000","1050309"
